#Miscellaneous
WORD_AND;ja
CHANNEL;Kanava
SERVER;Serveri
ARGUMENT_CONV_ERROR;`{argument}` ei ole numero. Varmista, että syötteesi on oikein, ja yritä uudestaan.
CHANNEL_NOT_FOUND;Kanavaa ID:llä `{id}` ei löytynyt. Varmista, että ID on oikein, ja että {botName} näkee kanavan.
NOT_TEXT_CHANNEL_ON_SERVER;Kanava ID:llä `{id}` on joko yksityinen tai äänikanava.
USER_NOT_ON_SYNC_SERVER;Et ole jäsen sillä serverillä, missä kanava, jonka ID on `{id}` sijaitsee.
UNKNOWN_CHANNEL;Tuntematon Kanava
INVALID_CHANNEL_ID_NUMBER;`{id}` ei ole kelvollinen kanavatägi tai ID-viittaus kanavalle. Pitikö sinun kirjoittaa `c{id}`?
INVALID_CHANNEL_ID_NON_NUMBER;`{id}` ei ole kelvollinen kanavatägi tai ID-viittaus kanavalle.
INVALID_COMMAND;`{command}` ei ole komennon nimi.
NO_AVAILABLE_COMMANDS;Komennolta `{command}` ei löytynyt yhtään alakomentoa, joita voisit käyttää tällä kanavalla.

#info
INFO.SHORTDESC;Tietoa monenlaisista asioista, kuten tästä botista. Kannattaa kurkata!

#info.permissions
INFO.PERMISSIONS.SHORTDESC;Listaa kaikki annetut komentoluvat, mukaan lukien kanavakohtaiset luvat.

#lewd
LEWD.SHORTDESC;Säädytöntä menoa...

#maka
MAKA.SHORTDESC;Pahoittelen jo etukäteen.
MAKA.ARGUMENTS;<min naurun pituus> <max naurun pituus>

#prefix
PREFIX.SHORTDESC;Komentojen prefiksien hallintaa.

#prefix.channel
PREFIX.CHANNEL.SHORTDESC;Vaihda tai pyyhi kanavan prefiksi.

#prefix.channel.change
PREFIX.CHANNEL.CHANGE.SHORTDESC;Vaihtaa kanavan prefiksin.
PREFIX.CHANNEL.CHANGE.ARGUMENTS;[uusi prefiksi]
PREFIX.CHANNEL.CHANGE.COMPLETED;Kanavan prefiksi on nyt `{prefix}`
PREFIX.CHANNEL.CHANGE.NO_DIFFERENCE;Kanavan prefiksi on jo `{prefix}`

#prefix.channel.clear
PREFIX.CHANNEL.CLEAR.SHORTDESC;Pyyhkii kanavan prefiksin.
PREFIX.CHANNEL.CLEAR.CLEARED;Kanavan prefiksi pyyhitty.

#prefix.server
PREFIX.SERVER.SHORTDESC;Vaihda tai pyyhi serverin prefiksi.

#prefix.server.change
PREFIX.SERVER.CHANGE.SHORTDESC;Vaihtaa serverin prefiksin.
PREFIX.SERVER.CHANGE.ARGUMENTS;[uusi prefiksi]
PREFIX.SERVER.CHANGE.COMPLETED;Serverin prefiksi on nyt `{prefix}`
PREFIX.SERVER.CHANGE.NO_DIFFERENCE;Serverin prefiksi on jo `{prefix}`

#prefix.server.clear
PREFIX.SERVER.CLEAR.SHORTDESC;Pyyhkii serverin prefiksin.
PREFIX.SERVER.CLEAR.CLEARED;Serverin prefiksi pyyhitty.

#prefix.user
PREFIX.USER.SHORTDESC;Vaihda tai pyyhi oma prefiksisi.

#prefix.user.change
PREFIX.USER.CHANGE.SHORTDESC;Vaihtaa käyttäjän henkilökohtaisen prefiksin.
PREFIX.USER.CHANGE.ARGUMENTS;[uusi prefiksi]
PREFIX.USER.CHANGE.COMPLETED;**{user}**, prefiksisi on nyt `{prefix}`
PREFIX.USER.CHANGE.NO_DIFFERENCE;Prefiksisi on jo `{prefix}`

#prefix.user.clear
PREFIX.USER.CLEAR.SHORTDESC;Pyyhkii henkilökohtaisen prefiksisi.
PREFIX.USER.CLEAR.CLEARED;Prefiksisi on pyyhitty.

#prefix.view
PREFIX.VIEW.SHORTDESC;Näyttää määritellyt prefiksit, ja kertoo mitä niistä käyttäjän kuuluu käyttää.
PREFIX.VIEW.DEFAULT_PREFIX;Oletusprefiksi on `{prefix}`
PREFIX.VIEW.SERVER_PREFIX;Serverin prefiksi on `{prefix}`
PREFIX.VIEW.SERVER_PREFIX.NONE;Serverin prefiksiä ei ole määritelty
PREFIX.VIEW.CHANNEL_PREFIX;Kanavan prefiksi on `{prefix}`
PREFIX.VIEW.CHANNEL_PREFIX.NONE;Kanavan prefiksiä ei ole määritelty
PREFIX.VIEW.USER_PREFIX;Käyttäjän prefiksi on `{prefix}`
PREFIX.VIEW.USER_PREFIX.NONE;Käyttäjän prefiksiä ei ole määritelty
PREFIX.VIEW.CORRECT;Käytä prefiksiä `{prefix}`

#quiz
QUIZ.SHORTDESC;Testaa tietojasi muita serverin jäseniä vastaan!
QUIZ.CORRECT_ANSWER;Oikea vastaus:
QUIZ.DOES_NOT_EXIST;Tällä kanavalla ei ole visaa.
QUIZ.ALREADY_EXISTS;Visa on jo luotu.
QUIZ.ALREADY_ONGOING;Visa on jo käynnissä.
QUIZ.NOT_PARTAKING;Et ole mukana visassa.
QUIZ.NOT_STARTED;Visaa ei ole vielä aloitettu.
QUIZ.POINTS_REWARD;Oikein vastanneet pelaajat:{players}
QUIZ.NO_POINTS_REWARD;Kukaan ei vastannut oikein.
QUIZ.UNANSWERED_PLAYERS;Vastaamattomat pelaajat
QUIZ.STANDINGS;Pistetilanne

#quiz.a
QUIZ.A.SHORTDESC;Vastaa visan kysymykseen.
QUIZ.A.ARGUMENTS;[vastausnro]
QUIZ.A.ANSWERED_COMPLETE;**{player}** vastasi kysymykseen.
QUIZ.A.ALREADY_ANSWERED;**{player}**, olet jo vastannut kysymykseen.

#quiz.end
QUIZ.END.SHORTDESC;Lopeta visa.
QUIZ.END.WINNER;Visa on päättynyt. Voittaja: {winners}
QUIZ.END.WINNERS;Visa on päättynyt. Voittajat: {winners}
QUIZ.END.NO_WINNER;Visa on päättynyt.

#quiz.new
QUIZ.NEW.SHORTDESC;Tee uusi visa.
QUIZ.NEW.ARGUMENTS;[kysymysten määrä]
QUIZ.NEW.COMPLETED;Uusi visa tehty.
